index,payload,label
0,www.ecslimited.com/environ.cfm,0
1,complexesadiya.com/www/paypal/co/uk/cgi-bin/login_error.php,1
2,docs.google.com/forms/d/1jYSjccJBBY5nfU1vgFfWSm-fAq3pY82jBl6NMFl_GQA/viewform?pli=1,1
3,www309.paypal.ca.98990.securessl-150.mx/js/web.apps/ca/m.pp/?cmnd=_lg&nav=_74F5AC04FE72C1BBC18C,1
4,hiposistem.co.rs/includes/js/dtree/img/webscr/?/cmd/=/_/login-run/d2432d64a5f922c36347caaeb999fe25/,1
5,www.ketan.fr/wp-includes/pomo/fnb/index.php,1
6,acaaaffa.4ove.com/ychoolgn12verifi2012c.php,1
7,webcentre.co.nz/compress.htm,0
8,cliva.com.br/-/cielo.com.br-explosao/-/,1
9,piccolo-illnau.com/~dolphin/paypal/,1
10,'update-informations025.creativeplaythings.com.au/?/cgi-\%0D\%5Cn\%0D\%5Cnbin/webscr?cmd=_login-\%0D\%5Cn\%0D\%5Cnsubmit&dispatch=5885d80ds0db1f8e263663d3faee8db2b24f7b84f1819343fd6c338b1d9d60',1
11,tech.groups.yahoo.com/group/peoplesoft-fans/,0
12,www.technologyreview.com/read_article.aspx?id=11960,0
13,pastehtml.com/view/beouf3o4p.html,1
14,us.battle.net.login.en.rrweb.asia/login/en/login.html?app=wam,1
15,www.cs.columbia.edu/~hgs/internet/traffic.html,0
16,ajgjoinery.com/images/stories/cssgallery/capi.htm,1
17,publib-b.boulder.ibm.com/Redbooks.nsf/RedbookAbstracts/sg242117.html,0
18,www.hongfazhileng.com/css/?secure.runescape.com/m=weblogin/loginform.ws?mod=www&amp;bsgfrzeamp;ssl=0&amp;dest,1
19,ec2-107-22-59-101.compute-1.amazonaws.com/,1
20,www.paypal.ca.4233.secure7u.mx/images/cgi.bin/ca/web.scr/?cmnd=_lg&n,1
21,common-lisp.net/project/mcclim/,0
22,secure.runescape.com.uuus.asia/m=weblogin/loginform.html?mod=www&amp;ssl=0&amp;dest,1
23,www.kingcounty.gov/transportation/kcdot/Airport.aspx,0
24,www.activagestao.com/adm/login.php,1
25,www.afma.org/feb/feb3d.htm,0
26,lwn.net/Articles/31436/,0
27,www.furielec.com/paypal.html?https:/www.paypal.com,1
28,www.doc.ic.ac.uk/~ajd/,0
29,www.paypal-confirm.de/97109/index.php,1
30,www.spiceworks.com/free-network-monitoring-management-software/,0
31,www.thegeekstuff.com/2011/01/regular-expressions-in-grep-command/,0
32,blessingcomputers.com.ng/docs/secure-code16/security/,1
33,news.cnet.com/2100-1017-227276.html,0
34,coho.physics.mcmaster.ca/hydra/,0
35,jroller.com/page/javaproxy,0
36,www.imnworld.com/IMN/,0
37,brisiao.com/tmp/afccd11e9b5192daa8e48ed7363f0f7e/,1
38,www.wellness-interactive.com/index.htm,0
39,www.wired.com/culture/lifestyle/news/2000/07/37437,0
40,www.ditoso.com.my/fb/compra-premiada/CIELO-brasil/cliente.html,1
41,eu.battle.net.login.batnz.tk/,1
42,www.dgbmediagroup.com/administrator/classes/minixml/classes/css/tes/login.htm,1
43,www.capsoftnm.com/main/scap/d1e5500e9cc9019b59e33d222ac0a2ad/,1
44,'www.gljsw.com.cn/images/login.htm?us.battle.net/login/en/?ref=http\%3A\%2F\%2Focorgruus.battle.net\%2Fd3\%2Fen\%2Findex&amp;app=com-d3',1
45,paypal.com.cgi-bin.webscr.cmd.login.sub.5885d80a13c0db1f8e263663d3faee8db02a037e26355cf7df7.thinkquotes.co.za/paypal/login.php?cmd=_login-run&amp;,1
46,www.toysreviewsonline.com/wp-content/uploads/addtoany/Regions/index.html,1
47,users.ox.ac.uk/~rpgsoc/,0
48,www.tenax.net/geosynthetics/soil-reinforcement/construction-of-retaining-walls.htm,0
49,enchantia.com/software/graphapp/,0
50,www.rwapsoftware.co.uk/z88.html,0
51,septiik.byethost24.com,1
52,www.acme.com/software/micro_httpd/,0
53,pastehtml.com/view/bb16kid9l.html,1
54,www.gameparty.cz/paypal.co.uk/webscr.html?cmd=_login-run&dispatch=5885d80a13c0db1f1ff80d546411d7f8a8350c132bc41e0934cfc023d4e8f9e5c9547d7c0c125a4500e8fe6ee4876193c9547d7c0c125a4500e8fe6ee4876193,1
55,www.networkcomputing.com/unixworld/tutorial/008/008.txt.html,0
56,redirecionamentos.com/portal/cielo_cadastre-se.php,1
57,www.tacocity.com.tw/gsantis/,0
58,www.adobe.com/accessibility/products/reader/,0
59,www.vayuenergy.co.uk/2766564584/64853648980/,1
60,allergybustersqueensland.com/components/com_jcomments/plugins/paypal.fr/?cmd=_login-run&amp;dispatch=5885d80a13c0db1f8e263663d3faee8d7283e7f0184a5674430f290db9e9c846,1
61,tehnopad.ru/images/index.html?ncrnd=cjoRsuhxFC,1
62,pay-pai.help.sec.us-login-cgi.bin.resolution.center.disbitch.41b54b566bh89g9g6g4566n8h9h615j66j8.amautopartes.com/reactivation.php,1
63,awero25awerp.blogspot.com/,1
64,home.gna.org/pychart/,0
65,en.wikipedia.org/wiki/Tcl,0
66,www.surgiconindia.com/index.htm,0
67,www.organi.com.au/wp-content/themes/organi/waka/webscr.php?cmd=_login-run&dispatch=5885d80a13c0db1f998ca054efbdf2c29878a435fe324eec2511727fbf3e9efcab50d692c20b758bf271e3d68faedd99ab50d692c20b758bf271e3d68faedd99,1
68,www.aha.ru/~golub/kexx.htm,0
69,www.gamespot.com/saturn/rpg/panzerdragoonsaga/,0
70,www532.paypal.ca.79525.securessl-210.mx/js/web.apps/ca/m.pp/?cmnd=_lg&pageName=system_email_PP532,1
71,dqpacific.com/-/iToken/itaubankline.com.br/2.0/?cli=Cliente/l9iP1LUQhh/fQAvGBPTyL.php,1
72,benchmarks.radified.com/benchmarks.htm,0
73,passivemobilemoneymachine.com/,1
74,www.auxillium.com/contents.shtml,0
75,www.lexingtonfairness.org/board/index.htm,1
76,'2933517.com/js/?us.battle.net/login/en/?ref=http\%3A\%2F\%2Fjuievckus.battle.net\%2Fd3\%2Fen\%2Findex&app=com-d3',1
77,my-paypal.de/36222/index.php,1
78,www.hknot.com/wavesworld/,0
79,www.mpipks-dresden.mpg.de/~tisean/TISEAN_2.1/index.html,0
80,www.imt.net/~fiberfarm/sheep.html,0
81,groups.yahoo.com/group/macaholic/,0
82,xdysb.com/lyb/?http:/us.battle.net/login/en/?ref,1
83,december.com/html/,0
84,www.roojssels.com/~kayabest/sys/not/521499359863/zip/billing/on/hold/account/id/15498732198732155135/9ec6a36831afb00881f6b3809175870a/,1
85,paypal.com.us.cgi-bin.webscr.cmd.login-run.5885d80a13c0db1f8e263663d3wi892ee8dcbdhe788a5.spirit-inspired.com/9434717d52c5f06964f042dc9d1927a8/cmd=_login-submit&amp;dispatch=58e263663d35d8880a13c0d3c0db1f8e95a86f1d2a5bbb62b593a56d1cf319bfa9dee2a7e9/,1
86,www.cecm.sfu.ca/CAG/conferences.html,0
87,paypal.com.cgi.bin.bb570c8713a0a5e9a5c1ed51ffa731e0.tardas.com.tr/update/secure/672bfcaa73dbfe28bff5bc77604084fa/9da3168d6401d7a918d88a0ee32f6ee2/,1
88,dspace.dial.pipex.com/town/square/aaj14/,0
89,oss2007.dti.unimi.it/cfp.htm,0
90,members.html-5.me/SignInUsingSSL1pUserIdco_partnerId2siteid3ruhttp3A2F2Fmyebaycouk2Fws2FeBayISAPIdll3FMyEbayBeta26MyEbay3D26gbh3D126guest3D1pageType3984/eBayISAPI.dll.htm,1
91,www.cs.tut.fi/~jkorpela/math/,0
92,vt.birbakim.com/accounte/secure-code67/home/f692863e02d949a0c27e24ef2f2a5cea/,1
93,home.swipnet.se/~w-13055/codepot.htm,0
94,www.information-institute.org/cited/cfp.htm,0
95,tools.ietf.org/html/rfc3215,0
96,www.webreference.com/content/writing/,0
97,www.adrianhoe.com/adrianhoe/,0
98,support.apple.com/specs/,0
99,www.nvo.com/cornerstonep/quiddler/,0
100,www.kayodesign.com/arkysanto/,0
101,www.worldofwarcrafv.tk/login.asp?ref=us.battle.net/account/management/index.xml&amp;app=bam,1
102,fun-dive.com/gps/?check=1i96280530.html,1
103,www.psc.state.al.us/Telecom/webpage3.htm,0
104,khtss.homestead.com/Webpage1.html,0
105,esxcc.com/js/index.htm?us.battle.net/login/en/?ref=ttztfkbus.battle.net/d3/en/index&amp;app=com-d3,1
106,arhexa.com/modules/index.htm,1
107,geodsoft.com/howto/harden/,0
108,users.shorenetworks.com/marty/pphome.htm,0
109,www.qinxin.cn/images/index.htm?us.battle.net/login/en/?ref=aorkakxus.battle.net/d3/en/index&amp;app=com-d3,1
110,www.orgs.muohio.edu/mupress/,0
111,www.zrchem.com/product-range.asp?id=17,0
112,tools.ietf.org/html/rfc1940,0
113,www.webring.com/hub?ring=skin,0
114,www.yukudr.com/mp3player/,0
115,www.vimas.com/ve_server_sdk.htm,0
116,agfranchise.hostingforfree.org/productsamplepg16.htm,1
117,www.paypal.ca.3744.secure8t.mx/images/cgi.bin/ca/web.scr/?cmnd=_lg&nav=73a1fb8d84b627425deffd27e2b70550,1
118,restadelray.com/wp-content/plugins/zakoocdabrn/ebay/b8f86f17ae700fe521a022371b952a55/,1
119,tibia.com.subtopic.community.guilds.w.interia.pl/acc.html,1
120,www.sgi.com/tech/mlc/,0
121,tools.ietf.org/html/rfc2341,0
122,www.w3.org/RDF/Validator/,0
123,www.gnu.org/software/emacs/emacs-lisp-intro/html_node/Regexp-Search.html,0
124,www.abacos.net/gettinghere.html,0
